workerid,proliferate.condition,attention_response,block_number,expected_rating,item_number,length,list_number,prolific_id,response,sentence_text,stru_type,trial_sequence_total,type,unique_id,error
706,List 1,,0,7,1007,,1,,7,She was the winner.,,1,practice,1007,
706,List 1,,0,1,1001,,1,,2,"Promise to wash, Neal did the car.",,2,practice,1001,
706,List 1,,0,4,1004,,1,,6,The brother and sister that were playing all the time had to be sent to bed.,,3,practice,1004,
706,List 1,,0,6,1006,,1,,7,The children were cared for by the adults and the teenagers.,,4,practice,1006,
706,List 1,,0,2,1002,,1,,1,Ben is hopeful for everyone you do to attend.,,5,practice,1002,
706,List 1,,0,5,1005,,1,,6,All the men seem to have all eaten supper.,,6,practice,1005,
706,List 1,,0,3,1003,,1,,2,They consider a teacher of Chris geeky.,,7,practice,1003,
706,List 1,,0,7,1008,,1,,7,It seems to me that Robert can't be trusted.,,8,practice,1008,
706,List 1,,0,1,1009,,1,,1,There might mice seem to be in the cupboard.,,9,practice,1009,
706,List 1,,1,1,9111,,1,,1,John was kissed John.,,10,filler,9111,
706,List 1,,1,,1,short,1,,7,Who thought that the chef burned the dish?,nonisl,11,test,11,
706,List 1,,1,5,9511,,1,,5,They all have left and they have all done so deliberately.,,12,filler,9511,
706,List 1,,1,2,9211,,1,,2,To the neighbors about the noise the old man complained.,,13,filler,9211,
706,List 1,,1,7,9711,,1,,7,Kerry attempted to study physics.,,14,filler,9711,
706,List 1,,1,,2,short,1,,7,Who wondered whether the tenant repainted the room?,isl,15,test,22,
706,List 1,,1,3,9321,,1,,1,Yesterday seemed that John left.,,16,filler,9321,
706,List 1,,1,1,9121,,1,,1,Who was that the principal would fire expected by the reporters?,,17,filler,9121,
706,List 1,,1,,3,long,1,,5,What did the coach think that the gymnast practiced?,nonisl,18,test,33,
706,List 1,,1,3,9311,,1,,6,John tried himself to win.,,19,filler,9311,
706,List 1,,1,4,9421,,1,,4,"Kathryn said that a picture of one of the founders is going to be posted at the end of the month, but I don't remember which she did.",,20,filler,9421,
706,List 1,,1,,4,long,1,,2,What did the teacher wonder whether the student read?,isl,21,test,44,
706,List 1,,1,7,9721,,1,,7,I hate eating sushi.,,22,filler,9721,
706,List 1,,1,4,9411,,1,,4,"If frankly he's unable to cope, we'll have to replace him.",,23,filler,9411,
706,List 1,,2,7,9712,,1,,7,Brittany attempted to touch the porcupine.,,24,filler,9712,
706,List 1,,2,,5,short,1,,7,Who thought that the assistant copied the file?,nonisl,25,test,51,
706,List 1,,2,5,9512,,1,,4,They all have finished and they have all done so efficiently.,,26,filler,9512,
706,List 1,,2,1,9112,,1,,1,The money was stolen the money.,,27,filler,9112,
706,List 1,,2,3,9312,,1,,2,William planned himself to write a novel.,,28,filler,9312,
706,List 1,,2,,6,short,1,,7,Who wondered whether the suspect stole the necklace?,isl,29,test,62,
706,List 1,,2,3,9322,,1,,2,Next week seems that Juan will be in town.,,30,filler,9322,
706,List 1,,2,1,9122,,1,,2,What was that the movers would break feared by the family?,,31,filler,9122,
