workerid,proliferate.condition,block_number,expected_rating,item_number,length,list_number,prolific_id,response,sentence_text,stru_type,trial_sequence_total,type,unique_id,error
2963,List 8,0,7,1007,,8,,6,She was the winner.,,1,practice,1007,
2963,List 8,0,1,1001,,8,,1,"Promise to wash, Neal did the car.",,2,practice,1001,
2963,List 8,0,4,1004,,8,,3,The brother and sister that were playing all the time had to be sent to bed.,,3,practice,1004,
2963,List 8,0,6,1006,,8,,4,The children were cared for by the adults and the teenagers.,,4,practice,1006,
2963,List 8,0,2,1002,,8,,2,Ben is hopeful for everyone you do to attend.,,5,practice,1002,
2963,List 8,0,5,1005,,8,,6,All the men seem to have all eaten supper.,,6,practice,1005,
2963,List 8,0,3,1003,,8,,3,They consider a teacher of Chris geeky.,,7,practice,1003,
2963,List 8,0,7,1008,,8,,7,It seems to me that Robert can't be trusted.,,8,practice,1008,
2963,List 8,0,1,1009,,8,,2,There might mice seem to be in the cupboard.,,9,practice,1009,
2963,List 8,1,4,9423,,8,,2,"Monica said she saw one of your videos on the internet, but I'm not sure which video she did.",,10,filler,9423,
2963,List 8,1,,12,long,8,,7,What did the scientist claim that the politician ignored?,nonisl,11,test,123,
2963,List 8,1,7,9723,,8,,7,I like taking vacations.,,12,filler,9723,
2963,List 8,1,2,9213,,8,,1,With the generals about a new approach the President talked.,,13,filler,9213,
2963,List 8,1,3,9323,,8,,1,Tomorrow seems that there will be a hurricane.,,14,filler,9323,
2963,List 8,1,,11,short,8,,7,Who made the claim that the babysitter washed the bottle?,isl,15,test,112,
2963,List 8,1,7,9713,,8,,7,Vivian attempted to write stories.,,16,filler,9713,
2963,List 8,1,4,9413,,8,,2,"If Grace probably passes the class, she will graduate on time.",,17,filler,9413,
2963,List 8,1,3,9313,,8,,2,Linda remembered herself to pick-up the dry cleaning.,,18,filler,9313,
2963,List 8,1,,10,short,8,,7,Who claimed that the doctor prescribed the medicine?,nonisl,19,test,101,
2963,List 8,1,1,9113,,8,,1,The hedges were trimmed the hedges.,,20,filler,9113,
2963,List 8,1,,9,long,8,,1,What did the soldier make the claim that the general ordered?,isl,21,test,94,
2963,List 8,1,1,9123,,8,,1,Who was that Martians kidnapped believed by no one?,,22,filler,9123,
2963,List 8,1,5,9513,,8,,4,They all have helped and they have all done so generously.,,23,filler,9513,
2963,List 8,2,7,9722,,8,,7,I like drinking milkshakes.,,24,filler,9722,
2963,List 8,2,,8,long,8,,7,What did the editor claim that the reporter plagiarized?,nonisl,25,test,83,
