workerid,proliferate.condition,block_number,expected_rating,item_number,length,list_number,prolific_id,response,sentence_text,stru_type,trial_sequence_total,type,unique_id,error
3659,List 3,0,7,1007,,3,,7,She was the winner.,,1,practice,1007,
3659,List 3,0,1,1001,,3,,2,"Promise to wash, Neal did the car.",,2,practice,1001,
3659,List 3,0,4,1004,,3,,3,The brother and sister that were playing all the time had to be sent to bed.,,3,practice,1004,
3659,List 3,0,6,1006,,3,,5,The children were cared for by the adults and the teenagers.,,4,practice,1006,
3659,List 3,0,2,1002,,3,,3,Ben is hopeful for everyone you do to attend.,,5,practice,1002,
3659,List 3,0,5,1005,,3,,7,All the men seem to have all eaten supper.,,6,practice,1005,
3659,List 3,0,3,1003,,3,,2,They consider a teacher of Chris geeky.,,7,practice,1003,
3659,List 3,0,7,1008,,3,,7,It seems to me that Robert can't be trusted.,,8,practice,1008,
3659,List 3,0,1,1009,,3,,1,There might mice seem to be in the cupboard.,,9,practice,1009,
3659,List 3,1,5,9513,,3,,5,They all have helped and they have all done so generously.,,10,filler,9513,
3659,List 3,1,1,9123,,3,,1,Who was that Martians kidnapped believed by no one?,,11,filler,9123,
3659,List 3,1,,9,long,3,,1,Who did the dancer think would promote the ballet company?,nonisl,12,test,93,
3659,List 3,1,1,9113,,3,,1,The hedges were trimmed the hedges.,,13,filler,9113,
3659,List 3,1,,10,long,3,,2,Who did the lawyer think a conversation with would complicate the lawsuit?,isl,14,test,104,
3659,List 3,1,3,9313,,3,,5,Linda remembered herself to pick-up the dry cleaning.,,15,filler,9313,
3659,List 3,1,4,9413,,3,,5,"If Grace probably passes the class, she will graduate on time.",,16,filler,9413,
3659,List 3,1,7,9713,,3,,7,Vivian attempted to write stories.,,17,filler,9713,
3659,List 3,1,,11,short,3,,6,Who thought the fickle millionaire would delay the campaign rally?,nonisl,18,test,111,
3659,List 3,1,3,9323,,3,,5,Tomorrow seems that there will be a hurricane.,,19,filler,9323,
3659,List 3,1,2,9213,,3,,3,With the generals about a new approach the President talked.,,20,filler,9213,
3659,List 3,1,7,9723,,3,,7,I like taking vacations.,,21,filler,9723,
3659,List 3,1,,12,short,3,,5,Who thought an exchange with the aggressive prosecutor would disrupt the trial?,isl,22,test,122,
3659,List 3,1,4,9423,,3,,5,"Monica said she saw one of your videos on the internet, but I'm not sure which video she did.",,23,filler,9423,
3659,List 3,2,7,9724,,3,,7,I hate missing work.,,24,filler,9724,
3659,List 3,2,3,9324,,3,,5,Next week appears that the strikers will be back to work.,,25,filler,9324,
3659,List 3,2,,13,long,3,,4,Who did the reporter think would criticize the newspaper's employees?,nonisl,26,test,133,
3659,List 3,2,4,9424,,3,,4,"Benjamin said he noticed a suspicious-looking man by the school, but I don't know which man he did.",,27,filler,9424,
3659,List 3,2,2,9214,,3,,2,At your spouse on the phone you shouldn't yell.,,28,filler,9214,
3659,List 3,2,,14,long,3,,3,Who did the teacher think a letter from would motivate the students?,isl,29,test,144,
3659,List 3,2,7,9714,,3,,7,Tommy attempted to take a picture.,,30,filler,9714,
3659,List 3,2,1,9114,,3,,3,Tommy was punished Tommy.,,31,filler,9114,
3659,List 3,2,4,9414,,3,,4,"If frankly you continue to argue, the boss will fire you.",,32,filler,9414,
3659,List 3,2,,15,short,3,,6,Who thought the elderly patient would require further tests?,nonisl,33,test,151,
3659,List 3,2,3,9314,,3,,4,Patricia agreed herself to host the party.,,34,filler,9314,
3659,List 3,2,1,9124,,3,,2,Who is that the jail must release accepted by few citizens?,,35,filler,9124,
3659,List 3,2,,16,short,3,,5,Who thought a donation from the foreign corporation would violate campaign finance laws?,isl,36,test,162,
3659,List 3,2,5,9514,,3,,5,They all have studied and they have all done so effectively.,,37,filler,9514,
