workerid,proliferate.condition,attention_response,block_number,expected_rating,item_number,length,list_number,prolific_id,response,sentence_text,stru_type,trial_sequence_total,type,unique_id,error
835,List 3,,0,7,1007,,3,,7,She was the winner.,,1,practice,1007,
835,List 3,,0,1,1001,,3,,1,"Promise to wash, Neal did the car.",,2,practice,1001,
835,List 3,,0,4,1004,,3,,4,The brother and sister that were playing all the time had to be sent to bed.,,3,practice,1004,
835,List 3,,0,6,1006,,3,,7,The children were cared for by the adults and the teenagers.,,4,practice,1006,
835,List 3,,0,2,1002,,3,,1,Ben is hopeful for everyone you do to attend.,,5,practice,1002,
835,List 3,,0,5,1005,,3,,6,All the men seem to have all eaten supper.,,6,practice,1005,
835,List 3,,0,3,1003,,3,,3,They consider a teacher of Chris geeky.,,7,practice,1003,
835,List 3,,0,7,1008,,3,,7,It seems to me that Robert can't be trusted.,,8,practice,1008,
835,List 3,,0,1,1009,,3,,2,There might mice seem to be in the cupboard.,,9,practice,1009,
835,List 3,,1,5,9513,,3,,6,They all have helped and they have all done so generously.,,10,filler,9513,
835,List 3,,1,1,9123,,3,,1,Who was that Martians kidnapped believed by no one?,,11,filler,9123,
835,List 3,,1,,9,long,3,,7,What did the soldier think that the general ordered?,nonisl,12,test,93,
835,List 3,,1,1,9113,,3,,1,The hedges were trimmed the hedges.,,13,filler,9113,
835,List 3,,1,,10,long,3,,1,What did the nurse wonder whether the doctor prescribed?,isl,14,test,104,
835,List 3,,1,3,9313,,3,,2,Linda remembered herself to pick-up the dry cleaning.,,15,filler,9313,
835,List 3,,1,4,9413,,3,,6,"If Grace probably passes the class, she will graduate on time.",,16,filler,9413,
835,List 3,,1,7,9713,,3,,7,Vivian attempted to write stories.,,17,filler,9713,
835,List 3,,1,,11,short,3,,6,Who thought that the babysitter washed the bottle?,nonisl,18,test,111,
835,List 3,,1,3,9323,,3,,3,Tomorrow seems that there will be a hurricane.,,19,filler,9323,
835,List 3,,1,2,9213,,3,,1,With the generals about a new approach the President talked.,,20,filler,9213,
835,List 3,,1,7,9723,,3,,7,I like taking vacations.,,21,filler,9723,
835,List 3,,1,,12,short,3,,7,Who wondered whether the politician ignored the recommendation?,isl,22,test,122,
835,List 3,,1,4,9423,,3,,7,"Monica said she saw one of your videos on the internet, but I'm not sure which video she did.",,23,filler,9423,
835,List 3,,2,7,9724,,3,,7,I hate missing work.,,24,filler,9724,
835,List 3,,2,3,9324,,3,,2,Next week appears that the strikers will be back to work.,,25,filler,9324,
835,List 3,,2,,13,long,3,,6,What did the prosecutor think that the judge overruled?,nonisl,26,test,133,
835,List 3,,2,4,9424,,3,,5,"Benjamin said he noticed a suspicious-looking man by the school, but I don't know which man he did.",,27,filler,9424,
835,List 3,,2,2,9214,,3,,1,At your spouse on the phone you shouldn't yell.,,28,filler,9214,
835,List 3,,2,,14,long,3,,4,What did the carpenter wonder whether the architect modified?,isl,29,test,144,
835,List 3,,2,7,9714,,3,,7,Tommy attempted to take a picture.,,30,filler,9714,
835,List 3,,2,1,9114,,3,,1,Tommy was punished Tommy.,,31,filler,9114,
835,List 3,,2,4,9414,,3,,5,"If frankly you continue to argue, the boss will fire you.",,32,filler,9414,
835,List 3,,2,,15,short,3,,7,Who thought that the patient contracted the disease?,nonisl,33,test,151,
835,List 3,,2,3,9314,,3,,4,Patricia agreed herself to host the party.,,34,filler,9314,
835,List 3,,2,1,9124,,3,,1,Who is that the jail must release accepted by few citizens?,,35,filler,9124,
835,List 3,,2,,16,short,3,,7,Who wondered whether the customer ordered the drink?,isl,36,test,162,
835,List 3,,2,5,9514,,3,,7,They all have studied and they have all done so effectively.,,37,filler,9514,
835,List 3,I would accept the raise and advocate for my colleague.,,,,,,,,,,,,,
835,List 3,,3,1,9111,,3,,1,John was kissed John.,,38,filler,9111,
835,List 3,,3,,1,long,3,,7,What did the waiter think that the chef burned?,nonisl,39,test,13,
835,List 3,,3,5,9511,,3,,7,They all have left and they have all done so deliberately.,,40,filler,9511,
835,List 3,,3,2,9211,,3,,1,To the neighbors about the noise the old man complained.,,41,filler,9211,
835,List 3,,3,7,9711,,3,,7,Kerry attempted to study physics.,,42,filler,9711,
835,List 3,,3,,2,long,3,,3,What did the landlord wonder whether the tenant repainted?,isl,43,test,24,
835,List 3,,3,3,9321,,3,,2,Yesterday seemed that John left.,,44,filler,9321,
835,List 3,,3,1,9121,,3,,1,Who was that the principal would fire expected by the reporters?,,45,filler,9121,
835,List 3,,3,,3,short,3,,7,Who thought that the gymnast practiced the routine?,nonisl,46,test,31,
835,List 3,,3,3,9311,,3,,4,John tried himself to win.,,47,filler,9311,
835,List 3,,3,4,9421,,3,,5,"Kathryn said that a picture of one of the founders is going to be posted at the end of the month, but I don't remember which she did.",,48,filler,9421,
835,List 3,,3,,4,short,3,,7,Who wondered whether the student read the book?,isl,49,test,42,
835,List 3,,3,7,9721,,3,,7,I hate eating sushi.,,50,filler,9721,
835,List 3,,3,4,9411,,3,,5,"If frankly he's unable to cope, we'll have to replace him.",,51,filler,9411,
835,List 3,,4,7,9712,,3,,7,Brittany attempted to touch the porcupine.,,52,filler,9712,
835,List 3,,4,,5,long,3,,7,What did the manager think that the assistant copied?,nonisl,53,test,53,
835,List 3,,4,5,9512,,3,,7,They all have finished and they have all done so efficiently.,,54,filler,9512,
835,List 3,,4,1,9112,,3,,1,The money was stolen the money.,,55,filler,9112,
835,List 3,,4,3,9312,,3,,5,William planned himself to write a novel.,,56,filler,9312,
835,List 3,,4,,6,long,3,,3,What did the detective wonder whether the suspect stole?,isl,57,test,64,
835,List 3,,4,3,9322,,3,,3,Next week seems that Juan will be in town.,,58,filler,9322,
835,List 3,,4,1,9122,,3,,1,What was that the movers would break feared by the family?,,59,filler,9122,
835,List 3,,4,4,9412,,3,,5,"If Kelly might have time, she will do it.",,60,filler,9412,
835,List 3,,4,,7,short,3,,7,Who thought that the guard intercepted the shipment?,nonisl,61,test,71,
835,List 3,,4,4,9422,,3,,5,"Jamie mentioned that a scene from one of the films is going to be shown this Thursday, but I don't remember which she did.",,62,filler,9422,
835,List 3,,4,2,9212,,3,,1,To the professor about my grade I talked.,,63,filler,9212,
835,List 3,,4,,8,short,3,,7,Who wondered whether the reporter plagiarized the article?,isl,64,test,82,
835,List 3,,4,7,9722,,3,,7,I like drinking milkshakes.,,65,filler,9722,
835,List 3,,,,,,,5dceca79b988870144a19f89,,,,,,,
819,List 3,,0,7,1007,,3,,7,She was the winner.,,1,practice,1007,
819,List 3,,0,1,1001,,3,,1,"Promise to wash, Neal did the car.",,2,practice,1001,
819,List 3,,0,4,1004,,3,,3,The brother and sister that were playing all the time had to be sent to bed.,,3,practice,1004,
819,List 3,,0,6,1006,,3,,5,The children were cared for by the adults and the teenagers.,,4,practice,1006,
819,List 3,,0,2,1002,,3,,1,Ben is hopeful for everyone you do to attend.,,5,practice,1002,
819,List 3,,0,5,1005,,3,,6,All the men seem to have all eaten supper.,,6,practice,1005,
819,List 3,,0,3,1003,,3,,1,They consider a teacher of Chris geeky.,,7,practice,1003,
819,List 3,,0,7,1008,,3,,7,It seems to me that Robert can't be trusted.,,8,practice,1008,
819,List 3,,0,1,1009,,3,,2,There might mice seem to be in the cupboard.,,9,practice,1009,
819,List 3,,1,5,9513,,3,,6,They all have helped and they have all done so generously.,,10,filler,9513,
819,List 3,,1,1,9123,,3,,1,Who was that Martians kidnapped believed by no one?,,11,filler,9123,
819,List 3,,1,,9,long,3,,7,What did the soldier think that the general ordered?,nonisl,12,test,93,
819,List 3,,1,1,9113,,3,,1,The hedges were trimmed the hedges.,,13,filler,9113,
819,List 3,,1,,10,long,3,,2,What did the nurse wonder whether the doctor prescribed?,isl,14,test,104,
819,List 3,,1,3,9313,,3,,2,Linda remembered herself to pick-up the dry cleaning.,,15,filler,9313,
819,List 3,,1,4,9413,,3,,3,"If Grace probably passes the class, she will graduate on time.",,16,filler,9413,
819,List 3,,1,7,9713,,3,,7,Vivian attempted to write stories.,,17,filler,9713,
819,List 3,,1,,11,short,3,,6,Who thought that the babysitter washed the bottle?,nonisl,18,test,111,
819,List 3,,1,3,9323,,3,,6,Tomorrow seems that there will be a hurricane.,,19,filler,9323,
819,List 3,,1,2,9213,,3,,2,With the generals about a new approach the President talked.,,20,filler,9213,
819,List 3,,1,7,9723,,3,,7,I like taking vacations.,,21,filler,9723,
