workerid,proliferate.condition,attention_response,block_number,expected_rating,item_number,length,list_number,prolific_id,response,sentence_text,stru_type,trial_sequence_total,type,unique_id,error
1639,List 4,,0,7,1007,,4,,7,She was the winner.,,1,practice,1007,
1639,List 4,,0,1,1001,,4,,4,"Promise to wash, Neal did the car.",,2,practice,1001,
1639,List 4,,0,4,1004,,4,,6,The brother and sister that were playing all the time had to be sent to bed.,,3,practice,1004,
1639,List 4,,0,6,1006,,4,,7,The children were cared for by the adults and the teenagers.,,4,practice,1006,
1639,List 4,,0,2,1002,,4,,4,Ben is hopeful for everyone you do to attend.,,5,practice,1002,
1639,List 4,,0,5,1005,,4,,6,All the men seem to have all eaten supper.,,6,practice,1005,
1639,List 4,,0,3,1003,,4,,3,They consider a teacher of Chris geeky.,,7,practice,1003,
1639,List 4,,0,7,1008,,4,,7,It seems to me that Robert can't be trusted.,,8,practice,1008,
1639,List 4,,0,1,1009,,4,,2,There might mice seem to be in the cupboard.,,9,practice,1009,
1639,List 4,,1,7,9724,,4,,7,I hate missing work.,,10,filler,9724,
1639,List 4,,1,3,9324,,4,,6,Next week appears that the strikers will be back to work.,,11,filler,9324,
1639,List 4,,1,,13,long,4,,3,What did the guest sneeze because the housekeeper dusted?,isl,12,test,134,
1639,List 4,,1,4,9424,,4,,6,"Benjamin said he noticed a suspicious-looking man by the school, but I don't know which man he did.",,13,filler,9424,
1639,List 4,,1,2,9214,,4,,2,At your spouse on the phone you shouldn't yell.,,14,filler,9214,
1639,List 4,,1,,14,short,4,,7,Who thought that the chef burned the dish?,nonisl,15,test,141,
1639,List 4,,1,7,9714,,4,,7,Tommy attempted to take a picture.,,16,filler,9714,
1639,List 4,,1,1,9114,,4,,1,Tommy was punished Tommy.,,17,filler,9114,
1639,List 4,,1,4,9414,,4,,5,"If frankly you continue to argue, the boss will fire you.",,18,filler,9414,
1639,List 4,,1,,15,short,4,,6,Who scowled because the dancer forgot the routine?,isl,19,test,152,
1639,List 4,,1,3,9314,,4,,6,Patricia agreed herself to host the party.,,20,filler,9314,
1639,List 4,,1,1,9124,,4,,1,Who is that the jail must release accepted by few citizens?,,21,filler,9124,
