workerid,proliferate.condition,attention_response,block_number,expected_rating,item_number,length,list_number,prolific_id,response,sentence_text,stru_type,trial_sequence_total,type,unique_id,error
1223,List 4,,0,7,1007,,4,,7,She was the winner.,,1,practice,1007,
1223,List 4,,0,1,1001,,4,,1,"Promise to wash, Neal did the car.",,2,practice,1001,
1223,List 4,,0,4,1004,,4,,7,The brother and sister that were playing all the time had to be sent to bed.,,3,practice,1004,
1223,List 4,,0,6,1006,,4,,7,The children were cared for by the adults and the teenagers.,,4,practice,1006,
1223,List 4,,0,2,1002,,4,,1,Ben is hopeful for everyone you do to attend.,,5,practice,1002,
1223,List 4,,0,5,1005,,4,,2,All the men seem to have all eaten supper.,,6,practice,1005,
1223,List 4,,0,3,1003,,4,,2,They consider a teacher of Chris geeky.,,7,practice,1003,
1223,List 4,,0,7,1008,,4,,7,It seems to me that Robert can't be trusted.,,8,practice,1008,
1223,List 4,,0,1,1009,,4,,1,There might mice seem to be in the cupboard.,,9,practice,1009,
1223,List 4,,1,7,9724,,4,,7,I hate missing work.,,10,filler,9724,
1223,List 4,,1,3,9324,,4,,2,Next week appears that the strikers will be back to work.,,11,filler,9324,
1223,List 4,,1,,13,long,4,,1,What did the prosecutor wonder why the judge overruled?,isl,12,test,134,
1223,List 4,,1,4,9424,,4,,4,"Benjamin said he noticed a suspicious-looking man by the school, but I don't know which man he did.",,13,filler,9424,
1223,List 4,,1,2,9214,,4,,2,At your spouse on the phone you shouldn't yell.,,14,filler,9214,
1223,List 4,,1,,14,short,4,,7,Who thought that the architect modified the blueprint?,nonisl,15,test,141,
1223,List 4,,1,7,9714,,4,,7,Tommy attempted to take a picture.,,16,filler,9714,
1223,List 4,,1,1,9114,,4,,1,Tommy was punished Tommy.,,17,filler,9114,
1223,List 4,,1,4,9414,,4,,4,"If frankly you continue to argue, the boss will fire you.",,18,filler,9414,
1223,List 4,,1,,15,short,4,,7,Who wondered why the patient contracted the disease?,isl,19,test,152,
1223,List 4,,1,3,9314,,4,,2,Patricia agreed herself to host the party.,,20,filler,9314,
1223,List 4,,1,1,9124,,4,,1,Who is that the jail must release accepted by few citizens?,,21,filler,9124,
1223,List 4,,1,,16,long,4,,6,What did the bartender think that the customer ordered?,nonisl,22,test,163,
1223,List 4,,1,5,9514,,4,,7,They all have studied and they have all done so effectively.,,23,filler,9514,
1223,List 4,,2,1,9111,,4,,1,John was kissed John.,,24,filler,9111,
1223,List 4,,2,,1,long,4,,1,What did the waiter wonder why the chef burned?,isl,25,test,14,
1223,List 4,,2,5,9511,,4,,6,They all have left and they have all done so deliberately.,,26,filler,9511,
1223,List 4,,2,2,9211,,4,,1,To the neighbors about the noise the old man complained.,,27,filler,9211,
1223,List 4,,2,7,9711,,4,,7,Kerry attempted to study physics.,,28,filler,9711,
1223,List 4,,2,,2,short,4,,7,Who thought that the tenant repainted the room?,nonisl,29,test,21,
1223,List 4,,2,3,9321,,4,,1,Yesterday seemed that John left.,,30,filler,9321,
1223,List 4,,2,1,9121,,4,,1,Who was that the principal would fire expected by the reporters?,,31,filler,9121,
1223,List 4,,2,,3,short,4,,7,Who wondered why the gymnast practiced the routine?,isl,32,test,32,
1223,List 4,,2,3,9311,,4,,7,John tried himself to win.,,33,filler,9311,
1223,List 4,,2,4,9421,,4,,1,"Kathryn said that a picture of one of the founders is going to be posted at the end of the month, but I don't remember which she did.",,34,filler,9421,
1223,List 4,,2,,4,long,4,,7,What did the teacher think that the student read?,nonisl,35,test,43,
1223,List 4,,2,7,9721,,4,,7,I hate eating sushi.,,36,filler,9721,
1223,List 4,,2,4,9411,,4,,7,"If frankly he's unable to cope, we'll have to replace him.",,37,filler,9411,
1223,List 4,Vouch for my colleague,,,,,,,,,,,,,
1223,List 4,,3,7,9712,,4,,7,Brittany attempted to touch the porcupine.,,38,filler,9712,
1223,List 4,,3,,5,long,4,,1,What did the manager wonder why the assistant copied?,isl,39,test,54,
1223,List 4,,3,5,9512,,4,,7,They all have finished and they have all done so efficiently.,,40,filler,9512,
1223,List 4,,3,1,9112,,4,,1,The money was stolen the money.,,41,filler,9112,
1223,List 4,,3,3,9312,,4,,4,William planned himself to write a novel.,,42,filler,9312,
1223,List 4,,3,,6,short,4,,7,Who thought that the suspect stole the necklace?,nonisl,43,test,61,
1223,List 4,,3,3,9322,,4,,1,Next week seems that Juan will be in town.,,44,filler,9322,
1223,List 4,,3,1,9122,,4,,1,What was that the movers would break feared by the family?,,45,filler,9122,
1223,List 4,,3,4,9412,,4,,1,"If Kelly might have time, she will do it.",,46,filler,9412,
1223,List 4,,3,,7,short,4,,7,Who wondered why the guard intercepted the shipment?,isl,47,test,72,
1223,List 4,,3,4,9422,,4,,6,"Jamie mentioned that a scene from one of the films is going to be shown this Thursday, but I don't remember which she did.",,48,filler,9422,
1223,List 4,,3,2,9212,,4,,1,To the professor about my grade I talked.,,49,filler,9212,
1223,List 4,,3,,8,long,4,,1,What did the editor think that the reporter plagiarized?,nonisl,50,test,83,
1223,List 4,,3,7,9722,,4,,7,I like drinking milkshakes.,,51,filler,9722,
1223,List 4,,4,5,9513,,4,,7,They all have helped and they have all done so generously.,,52,filler,9513,
1223,List 4,,4,1,9123,,4,,1,Who was that Martians kidnapped believed by no one?,,53,filler,9123,
1223,List 4,,4,,9,long,4,,4,What did the soldier wonder why the general ordered?,isl,54,test,94,
1223,List 4,,4,1,9113,,4,,1,The hedges were trimmed the hedges.,,55,filler,9113,
1223,List 4,,4,,10,short,4,,7,Who thought that the doctor prescribed the medicine?,nonisl,56,test,101,
1223,List 4,,4,3,9313,,4,,4,Linda remembered herself to pick-up the dry cleaning.,,57,filler,9313,
1223,List 4,,4,4,9413,,4,,1,"If Grace probably passes the class, she will graduate on time.",,58,filler,9413,
1223,List 4,,4,7,9713,,4,,7,Vivian attempted to write stories.,,59,filler,9713,
1223,List 4,,4,,11,short,4,,7,Who wondered why the babysitter washed the bottle?,isl,60,test,112,
1223,List 4,,4,3,9323,,4,,3,Tomorrow seems that there will be a hurricane.,,61,filler,9323,
1223,List 4,,4,2,9213,,4,,1,With the generals about a new approach the President talked.,,62,filler,9213,
1223,List 4,,4,7,9723,,4,,7,I like taking vacations.,,63,filler,9723,
1223,List 4,,4,,12,long,4,,7,What did the scientist think that the politician ignored?,nonisl,64,test,123,
1223,List 4,,4,4,9423,,4,,6,"Monica said she saw one of your videos on the internet, but I'm not sure which video she did.",,65,filler,9423,
1223,List 4,,,,,,,6054e1ddb68b58dd23242765,,,,,,,
1471,List 4,,0,7,1007,,4,,7,She was the winner.,,1,practice,1007,
1471,List 4,,0,1,1001,,4,,2,"Promise to wash, Neal did the car.",,2,practice,1001,
1471,List 4,,0,4,1004,,4,,7,The brother and sister that were playing all the time had to be sent to bed.,,3,practice,1004,
1471,List 4,,0,6,1006,,4,,7,The children were cared for by the adults and the teenagers.,,4,practice,1006,
1471,List 4,,0,2,1002,,4,,4,Ben is hopeful for everyone you do to attend.,,5,practice,1002,
1471,List 4,,0,5,1005,,4,,7,All the men seem to have all eaten supper.,,6,practice,1005,
1471,List 4,,0,3,1003,,4,,5,They consider a teacher of Chris geeky.,,7,practice,1003,
1471,List 4,,0,7,1008,,4,,7,It seems to me that Robert can't be trusted.,,8,practice,1008,
1471,List 4,,0,1,1009,,4,,3,There might mice seem to be in the cupboard.,,9,practice,1009,
1471,List 4,,1,7,9724,,4,,7,I hate missing work.,,10,filler,9724,
1471,List 4,,1,3,9324,,4,,5,Next week appears that the strikers will be back to work.,,11,filler,9324,
1471,List 4,,1,,13,long,4,,5,What did the prosecutor wonder why the judge overruled?,isl,12,test,134,
1471,List 4,,1,4,9424,,4,,6,"Benjamin said he noticed a suspicious-looking man by the school, but I don't know which man he did.",,13,filler,9424,
1471,List 4,,1,2,9214,,4,,3,At your spouse on the phone you shouldn't yell.,,14,filler,9214,
1471,List 4,,1,,14,short,4,,7,Who thought that the architect modified the blueprint?,nonisl,15,test,141,
1471,List 4,,1,7,9714,,4,,5,Tommy attempted to take a picture.,,16,filler,9714,
1471,List 4,,1,1,9114,,4,,2,Tommy was punished Tommy.,,17,filler,9114,
1471,List 4,,1,4,9414,,4,,7,"If frankly you continue to argue, the boss will fire you.",,18,filler,9414,
1471,List 4,,1,,15,short,4,,7,Who wondered why the patient contracted the disease?,isl,19,test,152,
1471,List 4,,1,3,9314,,4,,4,Patricia agreed herself to host the party.,,20,filler,9314,
1471,List 4,,1,1,9124,,4,,3,Who is that the jail must release accepted by few citizens?,,21,filler,9124,
1471,List 4,,1,,16,long,4,,7,What did the bartender think that the customer ordered?,nonisl,22,test,163,
1471,List 4,,1,5,9514,,4,,6,They all have studied and they have all done so effectively.,,23,filler,9514,
1471,List 4,,2,1,9111,,4,,1,John was kissed John.,,24,filler,9111,
1471,List 4,,2,,1,long,4,,2,What did the waiter wonder why the chef burned?,isl,25,test,14,
1471,List 4,,2,5,9511,,4,,6,They all have left and they have all done so deliberately.,,26,filler,9511,
1471,List 4,,2,2,9211,,4,,2,To the neighbors about the noise the old man complained.,,27,filler,9211,
1471,List 4,,2,7,9711,,4,,7,Kerry attempted to study physics.,,28,filler,9711,
1471,List 4,,2,,2,short,4,,7,Who thought that the tenant repainted the room?,nonisl,29,test,21,
1471,List 4,,2,3,9321,,4,,5,Yesterday seemed that John left.,,30,filler,9321,
1471,List 4,,2,1,9121,,4,,3,Who was that the principal would fire expected by the reporters?,,31,filler,9121,
1471,List 4,,2,,3,short,4,,7,Who wondered why the gymnast practiced the routine?,isl,32,test,32,
1471,List 4,,2,3,9311,,4,,4,John tried himself to win.,,33,filler,9311,
1471,List 4,,2,4,9421,,4,,6,"Kathryn said that a picture of one of the founders is going to be posted at the end of the month, but I don't remember which she did.",,34,filler,9421,
1471,List 4,,2,,4,long,4,,7,What did the teacher think that the student read?,nonisl,35,test,43,
1471,List 4,,2,7,9721,,4,,7,I hate eating sushi.,,36,filler,9721,
1471,List 4,,2,4,9411,,4,,7,"If frankly he's unable to cope, we'll have to replace him.",,37,filler,9411,
1471,List 4,I would talk with my boss about the raise and why I was getting it.  I would also make sure that credit was given to my colleague.,,,,,,,,,,,,,
1471,List 4,,3,7,9712,,4,,7,Brittany attempted to touch the porcupine.,,38,filler,9712,
1471,List 4,,3,,5,long,4,,3,What did the manager wonder why the assistant copied?,isl,39,test,54,
1471,List 4,,3,5,9512,,4,,6,They all have finished and they have all done so efficiently.,,40,filler,9512,
