workerid,proliferate.condition,block_number,expected_rating,item_number,length,list_number,prolific_id,response,sentence_text,stru_type,trial_sequence_total,type,unique_id,error
2749,List 7,0,7,1007,,7,,7,She was the winner.,,1,practice,1007,
2749,List 7,0,1,1001,,7,,1,"Promise to wash, Neal did the car.",,2,practice,1001,
2749,List 7,0,4,1004,,7,,3,The brother and sister that were playing all the time had to be sent to bed.,,3,practice,1004,
2749,List 7,0,6,1006,,7,,7,The children were cared for by the adults and the teenagers.,,4,practice,1006,
2749,List 7,0,2,1002,,7,,2,Ben is hopeful for everyone you do to attend.,,5,practice,1002,
2749,List 7,0,5,1005,,7,,4,All the men seem to have all eaten supper.,,6,practice,1005,
2749,List 7,0,3,1003,,7,,2,They consider a teacher of Chris geeky.,,7,practice,1003,
2749,List 7,0,7,1008,,7,,7,It seems to me that Robert can't be trusted.,,8,practice,1008,
2749,List 7,0,1,1009,,7,,1,There might mice seem to be in the cupboard.,,9,practice,1009,
2749,List 7,1,7,9722,,7,,7,I like drinking milkshakes.,,10,filler,9722,
2749,List 7,1,,8,short,7,,7,Who congratulated the reporter that submitted the article?,isl,11,test,82,
2749,List 7,1,2,9212,,7,,1,To the professor about my grade I talked.,,12,filler,9212,
2749,List 7,1,4,9422,,7,,5,"Jamie mentioned that a scene from one of the films is going to be shown this Thursday, but I don't remember which she did.",,13,filler,9422,
2749,List 7,1,,7,short,7,,7,Who thought that the guard intercepted the shipment?,nonisl,14,test,71,
2749,List 7,1,4,9412,,7,,7,"If Kelly might have time, she will do it.",,15,filler,9412,
2749,List 7,1,1,9122,,7,,1,What was that the movers would break feared by the family?,,16,filler,9122,
2749,List 7,1,3,9322,,7,,3,Next week seems that Juan will be in town.,,17,filler,9322,
2749,List 7,1,,6,long,7,,1,What did the detective chase the suspect that stole?,isl,18,test,64,
2749,List 7,1,3,9312,,7,,2,William planned himself to write a novel.,,19,filler,9312,
2749,List 7,1,1,9112,,7,,1,The money was stolen the money.,,20,filler,9112,
2749,List 7,1,5,9512,,7,,6,They all have finished and they have all done so efficiently.,,21,filler,9512,
2749,List 7,1,,5,long,7,,5,What did the manager think that the assistant deleted?,nonisl,22,test,53,
2749,List 7,1,7,9712,,7,,7,Brittany attempted to touch the porcupine.,,23,filler,9712,
2749,List 7,2,4,9411,,7,,2,"If frankly he's unable to cope, we'll have to replace him.",,24,filler,9411,
2749,List 7,2,7,9721,,7,,7,I hate eating sushi.,,25,filler,9721,
2749,List 7,2,,4,short,7,,7,Who rewarded the student that finished the book?,isl,26,test,42,
2749,List 7,2,4,9421,,7,,4,"Kathryn said that a picture of one of the founders is going to be posted at the end of the month, but I don't remember which she did.",,27,filler,9421,
2749,List 7,2,3,9311,,7,,1,John tried himself to win.,,28,filler,9311,
2749,List 7,2,,3,short,7,,6,Who thought that the gymnast created the routine?,nonisl,29,test,31,
2749,List 7,2,1,9121,,7,,1,Who was that the principal would fire expected by the reporters?,,30,filler,9121,
2749,List 7,2,3,9321,,7,,1,Yesterday seemed that John left.,,31,filler,9321,
2749,List 7,2,,2,long,7,,1,What did the landlord thank the tenant that repainted?,isl,32,test,24,
2749,List 7,2,7,9711,,7,,7,Kerry attempted to study physics.,,33,filler,9711,
