workerid,proliferate.condition,block_number,expected_rating,item_number,length,list_number,prolific_id,response,sentence_text,stru_type,trial_sequence_total,type,unique_id,error
2277,List 7,0,7,1007,,7,,6,She was the winner.,,1,practice,1007,
2277,List 7,0,1,1001,,7,,4,"Promise to wash, Neal did the car.",,2,practice,1001,
2277,List 7,0,4,1004,,7,,2,The brother and sister that were playing all the time had to be sent to bed.,,3,practice,1004,
2277,List 7,0,6,1006,,7,,2,The children were cared for by the adults and the teenagers.,,4,practice,1006,
2277,List 7,0,2,1002,,7,,2,Ben is hopeful for everyone you do to attend.,,5,practice,1002,
2277,List 7,0,5,1005,,7,,3,All the men seem to have all eaten supper.,,6,practice,1005,
2277,List 7,0,3,1003,,7,,5,They consider a teacher of Chris geeky.,,7,practice,1003,
2277,List 7,0,7,1008,,7,,6,It seems to me that Robert can't be trusted.,,8,practice,1008,
2277,List 7,0,1,1009,,7,,3,There might mice seem to be in the cupboard.,,9,practice,1009,
2277,List 7,1,7,9722,,7,,6,I like drinking milkshakes.,,10,filler,9722,
2277,List 7,1,,8,short,7,,3,Who fainted after the child swallowed the chemical?,isl,11,test,82,
2277,List 7,1,2,9212,,7,,2,To the professor about my grade I talked.,,12,filler,9212,
2277,List 7,1,4,9422,,7,,2,"Jamie mentioned that a scene from one of the films is going to be shown this Thursday, but I don't remember which she did.",,13,filler,9422,
2277,List 7,1,,7,short,7,,5,Who thought that the driver damaged the shipment?,nonisl,14,test,71,
2277,List 7,1,4,9412,,7,,4,"If Kelly might have time, she will do it.",,15,filler,9412,
2277,List 7,1,1,9122,,7,,2,What was that the movers would break feared by the family?,,16,filler,9122,
2277,List 7,1,3,9322,,7,,4,Next week seems that Juan will be in town.,,17,filler,9322,
2277,List 7,1,,6,long,7,,4,What did the guide frown after the tourists photographed?,isl,18,test,64,
2277,List 7,1,3,9312,,7,,5,William planned himself to write a novel.,,19,filler,9312,
2277,List 7,1,1,9112,,7,,1,The money was stolen the money.,,20,filler,9112,
2277,List 7,1,5,9512,,7,,3,They all have finished and they have all done so efficiently.,,21,filler,9512,
2277,List 7,1,,5,long,7,,4,What did the customer think that the salesman sprayed?,nonisl,22,test,53,
2277,List 7,1,7,9712,,7,,5,Brittany attempted to touch the porcupine.,,23,filler,9712,
2277,List 7,2,4,9411,,7,,6,"If frankly he's unable to cope, we'll have to replace him.",,24,filler,9411,
2277,List 7,2,7,9721,,7,,7,I hate eating sushi.,,25,filler,9721,
2277,List 7,2,,4,short,7,,3,Who blushed after the celebrity retweeted the comment?,isl,26,test,42,
2277,List 7,2,4,9421,,7,,3,"Kathryn said that a picture of one of the founders is going to be posted at the end of the month, but I don't remember which she did.",,27,filler,9421,
2277,List 7,2,3,9311,,7,,5,John tried himself to win.,,28,filler,9311,
2277,List 7,2,,3,short,7,,2,Who thought that the babysitter confiscated the toy?,nonisl,29,test,31,
2277,List 7,2,1,9121,,7,,3,Who was that the principal would fire expected by the reporters?,,30,filler,9121,
2277,List 7,2,3,9321,,7,,4,Yesterday seemed that John left.,,31,filler,9321,
2277,List 7,2,,2,long,7,,2,What did the auctioneer laugh after the heiress dropped?,isl,32,test,24,
2277,List 7,2,7,9711,,7,,5,Kerry attempted to study physics.,,33,filler,9711,
2277,List 7,2,2,9211,,7,,2,To the neighbors about the noise the old man complained.,,34,filler,9211,
2277,List 7,2,5,9511,,7,,2,They all have left and they have all done so deliberately.,,35,filler,9511,
2277,List 7,2,,1,long,7,,4,What did the assistant think that the lawyer misplaced?,nonisl,36,test,13,
2277,List 7,2,1,9111,,7,,3,John was kissed John.,,37,filler,9111,
2277,List 7,3,5,9514,,7,,2,They all have studied and they have all done so effectively.,,38,filler,9514,
2277,List 7,3,,16,short,7,,4,Who fainted after the committee banned the book?,isl,39,test,162,
2277,List 7,3,1,9124,,7,,5,Who is that the jail must release accepted by few citizens?,,40,filler,9124,
2277,List 7,3,3,9314,,7,,5,Patricia agreed herself to host the party.,,41,filler,9314,
2277,List 7,3,,15,short,7,,5,Who thought that the dancer simplified the routine?,nonisl,42,test,151,
2277,List 7,3,4,9414,,7,,3,"If frankly you continue to argue, the boss will fire you.",,43,filler,9414,
2277,List 7,3,1,9114,,7,,3,Tommy was punished Tommy.,,44,filler,9114,
2277,List 7,3,7,9714,,7,,6,Tommy attempted to take a picture.,,45,filler,9714,
2277,List 7,3,,14,long,7,,4,What did the waiter frown after the chef burned?,isl,46,test,144,
2277,List 7,3,2,9214,,7,,2,At your spouse on the phone you shouldn't yell.,,47,filler,9214,
2277,List 7,3,4,9424,,7,,2,"Benjamin said he noticed a suspicious-looking man by the school, but I don't know which man he did.",,48,filler,9424,
2277,List 7,3,,13,long,7,,2,What did the guest think that the housekeeper dusted?,nonisl,49,test,133,
2277,List 7,3,3,9324,,7,,2,Next week appears that the strikers will be back to work.,,50,filler,9324,
2277,List 7,3,7,9724,,7,,2,I hate missing work.,,51,filler,9724,
2277,List 7,4,4,9423,,7,,2,"Monica said she saw one of your videos on the internet, but I'm not sure which video she did.",,52,filler,9423,
2277,List 7,4,,12,short,7,,2,Who blushed after the president mispronounced the name?,isl,53,test,122,
2277,List 7,4,7,9723,,7,,5,I like taking vacations.,,54,filler,9723,
2277,List 7,4,2,9213,,7,,2,With the generals about a new approach the President talked.,,55,filler,9213,
2277,List 7,4,3,9323,,7,,2,Tomorrow seems that there will be a hurricane.,,56,filler,9323,
2277,List 7,4,,11,short,7,,2,Who thought that the model ripped the dress?,nonisl,57,test,111,
2277,List 7,4,7,9713,,7,,6,Vivian attempted to write stories.,,58,filler,9713,
2277,List 7,4,4,9413,,7,,4,"If Grace probably passes the class, she will graduate on time.",,59,filler,9413,
2277,List 7,4,3,9313,,7,,4,Linda remembered herself to pick-up the dry cleaning.,,60,filler,9313,
2277,List 7,4,,10,long,7,,3,What did the trainee laugh after the instructor suggested?,isl,61,test,104,
