workerid,proliferate.condition,attention_response,block_number,expected_rating,item_number,length,list_number,prolific_id,response,sentence_text,stru_type,trial_sequence_total,type,unique_id,error
1116,List 2,,0,7,1007,,2,,6,She was the winner.,,1,practice,1007,
1116,List 2,,0,1,1001,,2,,1,"Promise to wash, Neal did the car.",,2,practice,1001,
1116,List 2,,0,4,1004,,2,,5,The brother and sister that were playing all the time had to be sent to bed.,,3,practice,1004,
1116,List 2,,0,6,1006,,2,,7,The children were cared for by the adults and the teenagers.,,4,practice,1006,
1116,List 2,,0,2,1002,,2,,1,Ben is hopeful for everyone you do to attend.,,5,practice,1002,
1116,List 2,,0,5,1005,,2,,3,All the men seem to have all eaten supper.,,6,practice,1005,
1116,List 2,,0,3,1003,,2,,4,They consider a teacher of Chris geeky.,,7,practice,1003,
1116,List 2,,0,7,1008,,2,,7,It seems to me that Robert can't be trusted.,,8,practice,1008,
1116,List 2,,0,1,1009,,2,,2,There might mice seem to be in the cupboard.,,9,practice,1009,
1116,List 2,,1,7,9712,,2,,7,Brittany attempted to touch the porcupine.,,10,filler,9712,
1116,List 2,,1,,5,short,2,,5,Who wondered why the assistant copied the file?,isl,11,test,52,
1116,List 2,,1,5,9512,,2,,5,They all have finished and they have all done so efficiently.,,12,filler,9512,
1116,List 2,,1,1,9112,,2,,2,The money was stolen the money.,,13,filler,9112,
1116,List 2,,1,3,9312,,2,,3,William planned himself to write a novel.,,14,filler,9312,
1116,List 2,,1,,6,long,2,,5,What did the detective think that the suspect stole?,nonisl,15,test,63,
1116,List 2,,1,3,9322,,2,,4,Next week seems that Juan will be in town.,,16,filler,9322,
1116,List 2,,1,1,9122,,2,,2,What was that the movers would break feared by the family?,,17,filler,9122,
1116,List 2,,1,4,9412,,2,,5,"If Kelly might have time, she will do it.",,18,filler,9412,
1116,List 2,,1,,7,long,2,,4,What did the smuggler wonder why the guard intercepted?,isl,19,test,74,
1116,List 2,,1,4,9422,,2,,5,"Jamie mentioned that a scene from one of the films is going to be shown this Thursday, but I don't remember which she did.",,20,filler,9422,
1116,List 2,,1,2,9212,,2,,2,To the professor about my grade I talked.,,21,filler,9212,
1116,List 2,,1,,8,short,2,,6,Who thought that the reporter plagiarized the article?,nonisl,22,test,81,
1116,List 2,,1,7,9722,,2,,7,I like drinking milkshakes.,,23,filler,9722,
1116,List 2,,2,5,9513,,2,,5,They all have helped and they have all done so generously.,,24,filler,9513,
1116,List 2,,2,1,9123,,2,,2,Who was that Martians kidnapped believed by no one?,,25,filler,9123,
1116,List 2,,2,,9,short,2,,1,Who wondered why the general ordered the mission?,isl,26,test,92,
1116,List 2,,2,1,9113,,2,,2,The hedges were trimmed the hedges.,,27,filler,9113,
1116,List 2,,2,,10,long,2,,5,What did the nurse think that the doctor prescribed?,nonisl,28,test,103,
1116,List 2,,2,3,9313,,2,,2,Linda remembered herself to pick-up the dry cleaning.,,29,filler,9313,
1116,List 2,,2,4,9413,,2,,2,"If Grace probably passes the class, she will graduate on time.",,30,filler,9413,
1116,List 2,,2,7,9713,,2,,7,Vivian attempted to write stories.,,31,filler,9713,
1116,List 2,,2,,11,long,2,,2,What did the parent wonder why the babysitter washed?,isl,32,test,114,
1116,List 2,,2,3,9323,,2,,6,Tomorrow seems that there will be a hurricane.,,33,filler,9323,
1116,List 2,,2,2,9213,,2,,4,With the generals about a new approach the President talked.,,34,filler,9213,
1116,List 2,,2,7,9723,,2,,7,I like taking vacations.,,35,filler,9723,
1116,List 2,,2,,12,short,2,,7,Who thought that the politician ignored the recommendation?,nonisl,36,test,121,
1116,List 2,,2,4,9423,,2,,6,"Monica said she saw one of your videos on the internet, but I'm not sure which video she did.",,37,filler,9423,
1116,List 2,I would talk to my boss about giving my colleague compensation also.,,,,,,,,,,,,,
1116,List 2,,3,7,9724,,2,,7,I hate missing work.,,38,filler,9724,
1116,List 2,,3,3,9324,,2,,6,Next week appears that the strikers will be back to work.,,39,filler,9324,
1116,List 2,,3,,13,short,2,,7,Who wondered why the judge overruled the case?,isl,40,test,132,
1116,List 2,,3,4,9424,,2,,6,"Benjamin said he noticed a suspicious-looking man by the school, but I don't know which man he did.",,41,filler,9424,
1116,List 2,,3,2,9214,,2,,6,At your spouse on the phone you shouldn't yell.,,42,filler,9214,
